 378.54  255.39 
 380.57  256.27 
 382.61  257.15 
 384.64  258.02 
 386.67  258.88 
 388.70  259.74 
 390.72  260.59 
 392.75  261.44 
 394.77  262.29 
 396.78  263.12 
 398.79  263.96 
 400.79  264.78 
 401.46  265.06 
 402.12  265.33 
 403.45  265.87 
 404.77  266.42 
 406.09  266.96 
 407.41  267.49 
 408.72  268.03 
 410.03  268.56 
 411.33  269.09 
 412.62  269.61 
 413.05  269.78 
 413.34  269.90 
 413.53  269.98 
 413.91  270.13 
 414.29  270.28 
 415.05  270.59 
 416.56  271.20 
 418.07  271.80 
 419.56  272.40 
 421.03  272.99 
 422.50  273.58 
 423.95  274.16 
 425.39  274.73 
 425.86  274.92 
 426.18  275.04 
 426.49  275.17 
 427.12  275.42 
 428.37  275.91 
 429.60  276.40 
 430.82  276.88 
 432.03  277.35 
 433.22  277.81 
 434.40  278.27 
 435.56  278.72 
 436.70  279.17 
 437.83  279.60 
 438.20  279.74 
 438.45  279.84 
 438.94  280.03 
 439.43  280.21 
 440.40  280.58 
 441.35  280.94 
 442.29  281.29 
 443.22  281.64 
 444.13  281.98 
 445.03  282.31 
 445.92  282.64 
 446.79  282.96 
 447.65  283.27 
 448.49  283.58 
 450.14  284.16 
 450.68  284.35 
 451.73  284.72 
 452.08  284.84 
 452.31  284.92 
 452.76  285.08 
 453.21  285.23 
 454.10  285.53 
 454.97  285.82 
 455.82  286.10 
 456.66  286.38 
 457.48  286.64 
 458.28  286.89 
 459.06  287.14 
 459.83  287.37 
 460.59  287.60 
 461.33  287.82 
 462.05  288.02 
 462.76  288.22 
 463.46  288.42 
 463.69  288.48 
 464.15  288.60 
 464.60  288.72 
 465.04  288.83 
 465.48  288.94 
 465.92  289.05 
 466.35  289.16 
 466.78  289.26 
 467.20  289.36 
 467.62  289.45 
 468.03  289.54 
 468.44  289.63 
 468.85  289.72 
 469.25  289.80 
 469.65  289.88 
 470.04  289.95 
 470.44  290.03 
 470.83  290.10 
 471.21  290.17 
 471.60  290.23 
 471.98  290.30 
 472.36  290.36 
 472.74  290.41 
 473.11  290.47 
 473.49  290.52 
 473.86  290.57 
 474.23  290.62 
 474.60  290.66 
 474.97  290.70 
 475.34  290.74 
 475.71  290.78 
 476.08  290.82 
 476.44  290.85 
 476.81  290.88 
 477.18  290.91 
 477.55  290.93 
 477.91  290.96 
 478.28  290.98 
 478.65  291.00 
 479.02  291.02 
 479.39  291.03 
 479.76  291.05 
 480.14  291.06 
 480.51  291.07 
 480.64  291.07 
 480.89  291.08 
 481.14  291.08 
 481.39  291.08 
 481.65  291.08 
 481.90  291.09 
 481.99  291.09 
 482.16  291.09 
 482.33  291.09 
 482.50  291.09 
 482.67  291.09 
 482.84  291.08 
 483.02  291.08 
 483.19  291.08 
 483.36  291.08 
 483.54  291.08 
 483.89  291.07 
 484.25  291.06 
 484.60  291.05 
 484.96  291.04 
 485.32  291.03 
 485.69  291.01 
 486.06  291.00 
 486.43  290.98 
 486.81  290.97 
 487.18  290.95 
 487.57  290.93 
 487.95  290.90 
 488.34  290.88 
 488.74  290.86 
 489.13  290.83 
 489.54  290.80 
 489.94  290.78 
 490.35  290.75 
 490.77  290.71 
 491.19  290.68 
 491.61  290.65 
 492.04  290.61 
 492.48  290.58 
 492.92  290.54 
 493.36  290.50 
 493.81  290.46 
 494.27  290.42 
 494.73  290.38 
 495.19  290.34 
 495.67  290.29 
 496.14  290.25 
 496.63  290.20 
 497.12  290.15 
 497.61  290.10 
 498.12  290.05 
 498.63  290.00 
 499.14  289.95 
 499.66  289.90 
 500.19  289.84 
 500.73  289.79 
 501.27  289.73 
 501.82  289.67 
 502.37  289.61 
 502.93  289.55 
 503.50  289.49 
 504.08  289.43 
 504.66  289.37 
 505.25  289.30 
 505.85  289.24 
 506.45  289.17 
 507.07  289.11 
 507.69  289.04 
 508.31  288.97 
 508.95  288.90 
 509.59  288.83 
 510.24  288.76 
 510.89  288.69 
 511.56  288.61 
 512.23  288.54 
 512.91  288.47 
 513.59  288.39 
 514.28  288.32 
 514.99  288.24 
 515.69  288.16 
 516.41  288.09 
 517.13  288.01 
 517.86  287.93 
 518.59  287.85 
 519.34  287.77 
 520.84  287.61 
 522.38  287.44 
 523.94  287.28 
 525.53  287.11 
 527.14  286.94 
 528.77  286.78 
 530.43  286.61 
 532.11  286.43 
 533.81  286.26 
 535.53  286.09 
 537.27  285.92 
 539.03  285.75 
 540.80  285.58 
 542.59  285.40 
 544.39  285.23 
 546.21  285.06 
 546.82  285.00 
 548.04  284.89 
 549.26  284.78 
 550.49  284.67 
 551.73  284.55 
 552.97  284.44 
 554.21  284.33 
 555.46  284.22 
 556.71  284.11 
 557.96  284.00 
 559.22  283.89 
 560.48  283.78 
 561.74  283.67 
 563.00  283.57 
 564.27  283.46 
 565.54  283.35 
 566.81  283.25 
 569.35  283.04 
 571.91  282.83 
 574.47  282.63 
 577.03  282.42 
 579.59  282.22 
 582.16  282.03 
 584.73  281.83 
 587.31  281.64 
 589.88  281.46 
 592.46  281.27 
 595.04  281.09 
 597.62  280.91 
 600.20  280.73 
 602.78  280.55 
 605.36  280.38 
 607.95  280.21 
 610.53  280.04 
 611.39  279.99 
 612.25  279.93 
 613.98  279.82 
 617.42  279.61 
 620.87  279.40 
 624.32  279.19 
 627.77  278.99 
 631.22  278.79 
 634.67  278.59 
 638.13  278.40 
 641.58  278.22 
 645.03  278.03 
 648.49  277.85 
 651.95  277.68 
 655.40  277.51 
 658.86  277.34 
 662.32  277.17 
 665.78  277.01 
 669.24  276.85 
 672.70  276.70 
 676.16  276.55 
 679.62  276.40 
 683.09  276.26 
 686.55  276.12 
 690.02  275.98 
 693.48  275.84 
 696.95  275.71 
 700.42  275.58 
 703.89  275.46 
 707.36  275.33 
 710.83  275.21 
 714.30  275.10 
 715.45  275.06 
 716.22  275.03 
 716.74  275.02 
 717.77  274.98 
 718.80  274.95 
 720.85  274.88 
 724.97  274.76 
 729.09  274.63 
 733.21  274.51 
 737.32  274.39 
 741.45  274.28 
 745.57  274.17 
 749.69  274.07 
 753.81  273.96 
 757.94  273.86 
 762.06  273.77 
 766.19  273.68 
 770.32  273.59 
 774.45  273.50 
 778.58  273.42 
 782.71  273.34 
 786.84  273.26 
 790.97  273.19 
 795.10  273.12 
 799.24  273.05 
 803.37  272.98 
 807.51  272.92 
 811.65  272.86 
 815.79  272.80 
 819.93  272.75 
 824.07  272.69 
 828.21  272.64 
 832.35  272.59 
 836.50  272.55 
 840.64  272.50 
 844.79  272.46 
 848.93  272.42 
 853.08  272.38 
 857.23  272.34 
 861.38  272.31 
 865.53  272.28 
 869.68  272.24 
 873.83  272.21 
 877.98  272.19 
 882.14  272.16 
 886.29  272.14 
 890.45  272.11 
 894.61  272.09 
 898.76  272.07 
 900.15  272.06 
 902.92  272.05 
 905.69  272.04 
 908.47  272.03 
 911.24  272.02 
 914.02  272.01 
 916.79  272.00 
 919.57  271.99 
 922.34  271.98 
 925.12  271.97 
 927.89  271.96 
 930.67  271.96 
 933.45  271.95 
 936.22  271.95 
 939.00  271.94 
 941.78  271.93 
 944.56  271.93 
 947.34  271.93 
 950.12  271.92 
 952.90  271.92 
 955.68  271.92 
 958.46  271.91 
 961.24  271.91 
 964.02  271.91 
 966.80  271.91 
 967.73  271.91 
 969.58  271.91 
 971.44  271.91 
 973.29  271.91 
 975.15  271.91 
 977.00  271.91 
 978.86  271.91 
 980.72  271.91 
 982.57  271.91 
 984.43  271.91 
 986.28  271.91 
 988.14  271.91 
 990.00  271.92 
 991.85  271.92 
 993.71  271.92 
 995.57  271.92 
 997.43  271.92 
 999.28  271.92 
1001.14  271.93 
1003.00  271.93 
1004.86  271.93 
1006.72  271.93 
1008.57  271.94 
1010.43  271.94 
1012.29  271.94 
1014.15  271.95 
1016.01  271.95 
1017.87  271.95 
1019.73  271.96 
1021.59  271.96 
1025.31  271.97 
1029.03  271.98 
1032.75  271.99 
1036.47  271.99 
1040.19  272.00 
1043.92  272.01 
1047.64  272.03 
1051.37  272.04 
1055.09  272.05 
1058.82  272.06 
1062.54  272.07 
1066.27  272.08 
1070.00  272.10 
1073.73  272.11 
1077.46  272.12 
1081.19  272.14 
1084.92  272.15 
1088.65  272.17 
1092.38  272.18 
1096.11  272.20 
1099.85  272.21 
1103.58  272.23 
1107.31  272.25 
1111.05  272.26 
1114.79  272.28 
1118.52  272.30 
1122.26  272.32 
1126.00  272.33 
1129.74  272.35 
1133.48  272.37 
1137.22  272.39 
1140.96  272.41 
1144.70  272.43 
1148.44  272.45 
1152.18  272.47 
1155.92  272.49 
1159.67  272.51 
1163.41  272.53 
1167.16  272.55 
1170.90  272.57 
1174.65  272.59 
1178.40  272.61 
1182.14  272.63 
1185.89  272.65 
1189.64  272.67 
1193.39  272.69 
1197.14  272.72 
1200.89  272.74 
1204.64  272.76 
1208.40  272.78 
1212.15  272.80 
1215.90  272.83 
1219.66  272.85 
1223.41  272.87 
1227.17  272.89 
1230.92  272.92 
1234.68  272.94 
1238.44  272.96 
1242.19  272.98 
1245.95  273.01 
1249.71  273.03 
1253.47  273.05 
1257.23  273.08 
1260.99  273.10 
1264.75  273.12 
1268.52  273.15 
1272.28  273.17 
1276.04  273.20 
1279.81  273.22 
1283.57  273.24 
1287.34  273.27 
1291.10  273.29 
1294.87  273.31 
1298.64  273.34 
1302.40  273.36 
1306.17  273.39 
1309.94  273.41 
1313.71  273.43 
1317.48  273.46 
1321.25  273.48 
1325.03  273.51 
1328.80  273.53 
1332.57  273.55 
1336.34  273.58 
1340.12  273.60 
1343.89  273.63 
1347.67  273.65 
1351.44  273.67 
1355.22  273.70 
1359.00  273.72 
1362.77  273.75 
1366.55  273.77 
1370.33  273.79 
1374.11  273.82 
1377.89  273.84 
1381.67  273.87 
1385.45  273.89 
1389.24  273.91 
1393.02  273.94 
1396.80  273.96 
1400.59  273.99 
1404.37  274.01 
1408.16  274.03 
1411.94  274.06 
1415.73  274.08 
1419.51  274.10 
1423.30  274.13 
1427.09  274.15 
1430.88  274.18 
1434.67  274.20 
1438.46  274.22 
1442.25  274.25 
1446.04  274.27 
1449.83  274.29 
1453.62  274.32 
1457.42  274.34 
1461.21  274.36 
1465.00  274.38 
1468.80  274.41 
1472.59  274.43 
1476.39  274.45 
1480.18  274.48 
1483.98  274.50 
1487.78  274.52 
1491.58  274.54 
1495.38  274.56 
1499.18  274.59 
1502.98  274.61 
1506.78  274.63 
1510.58  274.65 
1514.38  274.67 
1518.18  274.70 
1521.98  274.72 
1525.79  274.74 
1529.59  274.76 
1533.40  274.78 
1537.20  274.80 
1541.01  274.82 
1544.81  274.84 
1548.62  274.86 
1552.43  274.88 
1556.24  274.90 
1560.05  274.92 
1563.85  274.94 
1567.66  274.96 
1571.47  274.98 
1572.75  274.99 
1575.29  275.00 
1577.83  275.01 
1580.37  275.03 
1582.91  275.04 
1585.45  275.05 
1587.99  275.06 
1590.54  275.08 
1593.08  275.09 
1595.62  275.10 
1598.16  275.11 
1600.71  275.12 
1603.25  275.13 
1605.80  275.14 
1608.34  275.16 
1610.88  275.17 
1613.43  275.18 
1615.97  275.19 
1618.52  275.20 
1621.06  275.21 
1623.61  275.22 
1626.16  275.23 
1628.70  275.24 
1631.25  275.25 
1633.80  275.26 
1636.34  275.27 
1638.89  275.28 
1641.44  275.29 
1643.98  275.30 
1646.53  275.30 
1649.08  275.31 
1651.63  275.32 
1654.18  275.33 
1656.73  275.34 
1659.28  275.34 
1661.83  275.35 
1664.38  275.36 
1666.93  275.36 
1669.48  275.37 
1672.03  275.38 
1674.58  275.38 
1677.13  275.39 
1679.68  275.39 
1682.23  275.40 
1684.78  275.40 
1687.34  275.41 
1689.89  275.41 
1692.44  275.42 
1694.99  275.42 
1697.55  275.42 
1700.10  275.43 
1702.65  275.43 
1705.21  275.43 
1707.76  275.43 
1710.32  275.43 
1712.87  275.44 
1715.43  275.44 
1716.28  275.44 
1717.98  275.44 
1719.68  275.44 
1721.39  275.44 
1723.09  275.44 
1724.80  275.43 
1726.50  275.43 
1728.20  275.43 
1729.91  275.43 
1731.61  275.43 
1733.32  275.43 
1735.02  275.43 
